,Unnamed: 0,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,country_id,Latitude,Longitude
130,130,Malawi,Sub-Saharan Africa,131,4.292,0.0613,0.016040000000000002,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,88,-13.254307999999998,34.301525
131,131,Sri Lanka,Southern Asia,132,4.271,0.03751,0.83524,1.01905,0.70806,0.5372600000000001,0.09179,0.40828,0.67108,138,7.873054,80.77179699999999
132,132,Cameroon,Sub-Saharan Africa,133,4.252,0.04678,0.4225,0.8876700000000001,0.23402,0.49309,0.05786,0.20618000000000006,1.95071,25,7.369722,12.354722
133,133,Bulgaria,Central and Eastern Europe,134,4.218,0.04828,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,21,42.733883,25.48583
134,134,Egypt,Middle East and Northern Africa,135,4.194,0.0326,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,43,26.820553000000004,30.802497999999996
135,135,Yemen,Middle East and Northern Africa,136,4.077,0.04367,0.5464899999999999,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,164,15.552726999999999,48.516388
136,136,Angola,Sub-Saharan Africa,137,4.033,0.04758,0.75778,0.8604,0.16683,0.10384000000000003,0.07122,0.12344,1.94939,4,-11.202691999999999,17.873887
137,137,Mali,Sub-Saharan Africa,138,3.995,0.056020000000000014,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,90,17.570692,-3.9961660000000006
138,138,Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.06682,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,33,-0.228021,15.827658999999999
139,139,Comoros,Sub-Saharan Africa,140,3.956,0.04797,0.23906,0.79273,0.36315,0.22917,0.199,0.17440999999999998,1.95812,32,-11.6455,43.3333
140,140,Uganda,Sub-Saharan Africa,141,3.931,0.04317,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,155,1.373333,32.290275
141,141,Senegal,Sub-Saharan Africa,142,3.904,0.03608,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843000000000006,1.44395,125,14.497401000000002,-14.452361999999999
142,142,Gabon,Sub-Saharan Africa,143,3.896,0.04547,1.06024,0.90528,0.43372,0.31914000000000003,0.11091,0.06822,0.99895,49,-0.803689,11.609444
143,143,Niger,Sub-Saharan Africa,144,3.845,0.03602,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,106,17.607789,8.081666
144,144,Cambodia,Southeastern Asia,145,3.819,0.05069,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,24,12.565679,104.990963
145,145,Tanzania,Sub-Saharan Africa,146,3.781,0.05061,0.2852,1.00268,0.38215,0.32878,0.057470000000000014,0.34377,1.38079,148,-6.369028,34.888822
146,146,Madagascar,Sub-Saharan Africa,147,3.681,0.03633,0.20824,0.66801,0.46721,0.19184,0.08123999999999999,0.21333,1.851,87,-18.766947000000002,46.869107
147,147,Central African Republic,Sub-Saharan Africa,148,3.678,0.061120000000000015,0.0785,0.0,0.06699,0.48879,0.08288999999999999,0.23835,2.7223,27,6.611111,20.939444
148,148,Chad,Sub-Saharan Africa,149,3.667,0.0383,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,28,15.454166,18.732207
149,149,Guinea,Sub-Saharan Africa,150,3.656,0.0359,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,55,9.945587,-9.696645
150,150,Ivory Coast,Sub-Saharan Africa,151,3.655,0.05141,0.46534,0.77115,0.15185,0.46866,0.17922000000000002,0.20165,1.41723,69,7.539989,-5.54708
151,151,Burkina Faso,Sub-Saharan Africa,152,3.587,0.04324,0.25812,0.85188,0.27125,0.39493,0.12832000000000002,0.21747,1.46494,22,12.238333,-1.561593
152,152,Afghanistan,Southern Asia,153,3.575,0.03084,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,1,33.93911,67.709953
153,153,Rwanda,Sub-Saharan Africa,154,3.465,0.03464,0.22208000000000006,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,123,-1.940278,29.873888
154,154,Benin,Sub-Saharan Africa,155,3.34,0.03656,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.6332799999999998,15,9.30769,2.315834
155,155,Syria,Middle East and Northern Africa,156,3.006,0.05015,0.6632,0.47489,0.7219300000000001,0.15684,0.18906,0.47179,0.32858000000000004,144,34.802075,38.996815000000005
156,156,Burundi,Sub-Saharan Africa,157,2.905,0.08657999999999999,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,23,-3.3730559999999996,29.918885999999997
157,157,Togo,Sub-Saharan Africa,158,2.839,0.06727000000000001,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,150,8.619543,0.824782
